"Data","Nazwa","ISIN","Waluta","Kurs otwarcia","Kurs max","Kurs min","Kurs zamknięcia","Zmiana","Wolumen","Liczba Transakcji","Obrót","Liczba otwartych pozycji","Wartość otwartych pozycji","Cena nominalna"
"2019-10-11","LABOPRINT","PLLBPRT00013","PLN","10","10","9.98","9.98","-0.2","11","11","0.11","0","0","0"
"2019-10-11","LARK","PLPPWK000014","PLN","0","0","0","0.15","0","0","0","0","0","0","0"
"2019-10-11","LARQ","PLCAMMD00032","PLN","2.46","2.46","2.36","2.36","-4.07","2010","2","4.74","0","0","0"
"2019-10-11","LENA","PLLENAL00015","PLN","3.1","3.17","3.1","3.17","1.28","4977","12","15.68","0","0","0"
"2019-10-11","LENTEX","PLLENTX00010","PLN","7.22","7.22","7.1","7.1","-1.66","1651","5","11.77","0","0","0"
"2019-10-11","LIBET","PLLBT0000013","PLN","0.552","0.59","0.552","0.576","4.73","110559","52","63.09","0","0","0"
"2019-10-11","LIVECHAT","PLLVTSF00010","PLN","33.9","34.6","33.8","34.45","1.77","8995","74","305.84","0","0","0"
"2019-10-11","LOKUM","PLLKMDW00049","PLN","14","14.1","14","14.1","-2.08","781","3","10.94","0","0","0"
"2019-10-11","LOTOS","PLLOTOS00025","PLN","92","92.36","90.26","92","0.52","199731","1646","18309.97","0","0","0"
"2019-10-11","LPP","PLLPP0000011","PLN","7805","8120","7805","8055","3.4","2006","666","15938.79","0","0","0"
"2019-10-11","LSISOFT","PLLSSFT00016","PLN","13.15","13.2","12.95","13.2","0","4120","6","54.12","0","0","0"
"2019-10-11","LUBAWA","PLLUBAW00013","PLN","0.842","0.884","0.83","0.866","4.34","200688","98","172","0","0","0"
"2019-10-11","MABION","PLMBION00016","PLN","80.1","84.6","80","81.9","2.5","3650","100","299.2","0","0","0"
"2019-10-11","MAKARONPL","PLMKRNP00015","PLN","0","0","0","4.6","0","0","0","0","0","0","0"
"2019-10-11","MANGATA","PLZTKMA00017","PLN","69","69","68.5","69","0.73","30","4","2.07","0","0","0"
